random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_2.rt
5351,y,7.734425,m,7.51697,,0,,0,0,0,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,1,1,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,2,2,81,1,cmp_shelves_053_toys_012,S4_shelves_053_toys_012.jpg,1,motorcycle509.png,motorcycle509.png,airplane136.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,3,3,86,1,cmp_shelves_051_toys_010,S4_shelves_051_toys_010.jpg,1,truck262.png,truck262.png,truck167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,4,4,59,1,cmp_field_004_farmanimals_004,S4_field_004_farmanimals_004.jpg,1,horse205.png,horse205.png,horse7.png,sheep103.png,sheep106.png,cow69.png,cow232.png,cow15.png,sheep3.png,blank.png,1,4,8,8,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,5,5,61,1,cmp_building_042_dog_010,S4_building_042_dog_010.jpg,1,dog495.png,dog495.png,dog1126.png,dog1176.png,dog508.png,dog518.png,dog780.png,dog872.png,dog948.png,blank.png,0,4,8,8,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,6,6,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,7,7,15,1,cmp_mountain_019_sheep_007,S1_mountain_019_sheep_007.jpg,0,blank.png,blank.png,sheep46.png,sheep53.png,sheep128.png,sheep20.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,8,8,9,1,cmp_building_026_person_012,S1_building_026_person_012.jpg,0,blank.png,blank.png,person150.png,person390.png,person137.png,person140.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,p,0,space,0,9,9,45,1,cmp_africansavanna_001_wildanimals_001,S4_africansavanna_001_wildanimals_001.jpg,1,bear384.png,bear384.png,elephant316.png,giraffe5.png,zebra221.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.370155,2.54762
,,,,,p,0,space,0,10,10,60,1,cmp_building_031_person_017,S4_building_031_person_017.jpg,1,person771.png,person771.png,person1039.png,person34.png,person512.png,person513.png,person58.png,person596.png,person842.png,blank.png,0,4,8,8,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.71421,1.013335
,,,,,p,0,space,0,11,11,100,1,cmp_shelves_016_cup_001,S8_shelves_016_cup_001.jpg,1,cup406.png,cup406.png,cup356.png,cup636.png,cup677.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.75793,1.19335
,,,,,,0,,0,12,12,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,,0,,0,13,13,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,p,0,space,0,14,14,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,7.679725,0.997985
,,,,,p,0,space,0,15,15,99,1,cmp_mountain_025_cow_005,S8_mountain_025_cow_005.jpg,1,cow396.png,cow396.png,cow241.png,cow340.png,cow343.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.18436,0.97371
,,,,,,0,,0,16,16,94,1,cmp_mountain_014_bird_002,S4_mountain_014_bird_002.jpg,0,blank.png,blank.png,bird27.png,bird456.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,610560,24,2020-08-25_19h31.25.708,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
