random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
6566,y,62.96834,w,17.893355,m,0,5.19654,,0,0,0,93,1,cmp_building_025_person_011,S4_building_025_person_011.jpg,0,blank.png,blank.png,person1266.png,person1352.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,4.390885,,0,1,1,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,2.451655,,0,2,2,101,1,cmp_building_051_bird_007,S8_building_051_bird_007.jpg,1,bird596.png,bird596.png,bird663.png,bird540.png,bird661.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,0,2.50814,,0,3,3,86,1,cmp_shelves_051_toys_010,S4_shelves_051_toys_010.jpg,1,truck262.png,truck262.png,truck167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,2.289355,,0,4,4,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,0,1.88996,,0,5,5,24,1,cmp_mountain_006_bear_002,S2_mountain_006_bear_002.jpg,1,bear688.png,bear688.png,bear4.png,bear71.png,bear72.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,0,3.982045,,0,6,6,49,1,cmp_mountain_021_sheep_009,S4_mountain_021_sheep_009.jpg,0,blank.png,blank.png,sheep760.png,sheep655.png,sheep710.png,sheep654.png,sheep618.png,sheep761.png,sheep719.png,sheep739.png,1,4,8,8,7,v,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,0,1.597045,,0,7,7,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,0,2.76959,,0,8,8,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,3.73348,,0,9,9,1,1,cmp_building_028_person_014,S1_building_028_person_014.jpg,1,person1293.png,person1293.png,person1501.png,person1447.png,person1485.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,28,2020-08-21_22h42.53.581,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
