random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
6341,y,3.605645,w,7.418265,m,0,2.13698,,0,0,0,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,1.22353,,0,1,1,77,1,cmp_shelves_043_toys_002,S4_shelves_043_toys_002.jpg,0,blank.png,blank.png,car138.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,0,2.240695,,0,2,2,82,1,cmp_building_049_bird_005,S4_building_049_bird_005.jpg,1,bird1082.png,bird1082.png,bird1040.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,1.62809,,0,3,3,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,4.3069,,0,4,4,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,1.844625,,0,5,5,78,1,cmp_building_011_cat_003,S4_building_011_cat_003.jpg,0,blank.png,blank.png,cat167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,1.739195,,0,6,6,34,1,cmp_building_001_dog_001,S4_building_001_dog_001.jpg,1,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_006.png,stm_builging_001_dog_001_012.png,stm_builging_001_dog_001_015.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,3.81013,,0,7,7,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,3.798465,,0,8,8,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,0,1.72416,,0,9,9,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,0.909975,,0,10,10,66,1,cmp_shelves_052_toys_011,S4_shelves_052_toys_011.jpg,1,bus112.png,bus112.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,1.399775,,0,11,11,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,1,1.688485,,0,12,12,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,3.791305,,0,13,13,88,1,cmp_building_014_person_007,S4_building_014_person_007.jpg,0,blank.png,blank.png,person120.png,person198.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,2.557005,,0,14,14,74,1,cmp_shelves_033_book_006,S4_shelves_033_book_006.jpg,0,blank.png,blank.png,book119.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,v,1,3.48481,,0,15,15,48,1,cmp_shelves_030_book_003,S4_shelves_030_book_003.jpg,0,blank.png,blank.png,book106.png,book150.png,book237.png,book549.png,book9.png,book417.png,book51.png,book396.png,1,4,8,8,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
,,,,,m,0,1.15878,,0,16,16,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,501638,22,2020-08-05_12h45.33.807,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60,,
