random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate
4744,y,12.996,w,4.24,,0,,0,0,0,34,1,cmp_building_001_dog_001,S4_building_001_dog_001.jpg,1,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_010.png,stm_builging_001_dog_001_006.png,stm_builging_001_dog_001_012.png,stm_builging_001_dog_001_015.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,1,1,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,2,2,20,1,cmp_jungle_004_bird_004,S2_jungle_004_bird_004.jpg,0,blank.png,blank.png,bird224.png,bird133.png,bird244.png,bird131.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,3,3,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,4,4,84,1,cmp_building_039_dog_007,S4_building_039_dog_007.jpg,1,dog519.png,dog519.png,dog592.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,5,5,10,1,cmp_building_020_cat_007,S1_building_020_cat_007.jpg,0,blank.png,blank.png,cat1553.png,cat1557.png,cat1569.png,cat1630.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,6,6,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,7,7,7,1,cmp_shelves_028_book_001,S1_shelves_028_book_001.jpg,1,book624.png,book624.png,book349.png,book368.png,book392.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,8,8,66,1,cmp_shelves_052_toys_011,S4_shelves_052_toys_011.jpg,1,bus112.png,bus112.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,9,9,38,1,cmp_building_047_bird_003,S4_building_047_bird_003.jpg,0,bird370.png,blank.png,bird417.png,bird489.png,bird389.png,bird358.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
,,,,,,0,,0,10,10,95,1,cmp_mountain_013_bird_001,S4_mountain_013_bird_001.jpg,0,blank.png,blank.png,bird152.png,bird403.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,45678,26,2020-08-21_23h56.17.467,vismem_search_builder_pavlovia2,2020.1.2,Win32,60
