random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate
7975,y,6.27808,m,1,1.686835,,0,0,0,70,1,cmp_shelves_049_toys_008,S4_shelves_049_toys_008.jpg,1,truck627.png,truck627.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,m,0,1.465885,,0,1,1,106,1,cmp_mountain_018_sheep_006,S8_mountain_018_sheep_006.jpg,0,blank.png,blank.png,sheep1610.png,sheep1647.png,sheep1786.png,sheep1673.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,1,2.481925,,0,2,2,51,1,cmp_shelves_023_teddybear_004,S4_shelves_023_teddybear_004.jpg,0,blank.png,blank.png,teddy bear487.png,teddy bear517.png,teddy bear521.png,teddy bear555.png,teddy bear637.png,teddy bear762.png,teddy bear725.png,teddy bear755.png,1,4,8,8,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,1,2.68614,,0,3,3,21,1,cmp_mountain_001_bear_001,S2_mountain_001_bear_001.jpg,0,blank.png,blank.png,stm_mountain_001_bear_001_003.png,stm_mountain_001_bear_001_013.png,stm_mountain_001_bear_001_010.png,stm_mountain_001_bear_001_005.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,m,0,3.00951,,0,4,4,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,1,1.87448,,0,5,5,104,1,cmp_shelves_040_book_013,S8_shelves_040_book_013.jpg,0,blank.png,blank.png,book477.png,book786.png,book915.png,book921.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,1,2.31786,,0,6,6,107,1,cmp_shelves_020_remote_004,S8_shelves_020_remote_004.jpg,0,blank.png,blank.png,remote258.png,remote260.png,remote361.png,remote269.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,1,4.462165,,0,7,7,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,0,1.995235,,0,8,8,24,1,cmp_mountain_006_bear_002,S2_mountain_006_bear_002.jpg,1,bear688.png,bear688.png,bear4.png,bear71.png,bear72.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
,,,v,0,2.97669,,0,9,9,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,000101,002,41,M,MI,2020-03-31_08h24.17.749,vismem_search_builder_pavlovia,2020.1.2,Linux x86_64,60
