random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
6569,y,7.69848,,0,,0,0,0,9,1,cmp_building_026_person_012,S1_building_026_person_012.jpg,0,blank.png,blank.png,person150.png,person390.png,person137.png,person140.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,
,,,,0,,0,1,1,43,1,cmp_mountain_020_sheep_008,S4_mountain_020_sheep_008.jpg,0,blank.png,blank.png,sheep474.png,sheep356.png,sheep455.png,sheep483.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,
,,,m,1,,0,2,2,19,1,cmp_building_004_sheep_001,S2_building_004_sheep_001.jpg,1,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_009.png,stm_building_004_sheep_001_014.png,stm_building_004_sheep_001_015.png,stm_building_004_sheep_001_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.957425
,,,v,1,,0,3,3,75,1,cmp_jungle_011_bird_011,S4_jungle_011_bird_011.jpg,0,blank.png,blank.png,bird1369.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.00542
,,,m,1,,0,4,4,5,1,cmp_building_033_cat_012,S1_building_033_cat_012.jpg,1,cat1997.png,cat1997.png,cat1953.png,cat1921.png,cat1927.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.575345
,,,m,0,,0,5,5,105,1,cmp_shelves_021_remote_005,S8_shelves_021_remote_005.jpg,0,blank.png,blank.png,remote353.png,remote357.png,remote358.png,remote373.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,1.43117
,,,,0,,0,6,6,35,1,cmp_building_021_cat_008,S4_building_021_cat_008.jpg,1,cat1953.png,cat1953.png,cat1966.png,cat1835.png,cat1921.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,
,,,m,0,,0,7,7,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.77037
,,,m,1,,0,8,8,97,1,cmp_shelves_031_book_004,S8_shelves_031_book_004.jpg,1,book1164.png,book1164.png,book692.png,book935.png,book499.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,1.211505
,,,v,0,,0,9,9,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.44355
,,,m,1,,0,10,10,58,1,cmp_jungle_007_bird_007,S4_jungle_007_bird_007.jpg,1,bird207.png,bird207.png,bird195.png,bird232.png,bird242.png,bird246.png,bird278.png,bird294.png,bird310.png,blank.png,1,4,8,8,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,3.109765
,,,v,0,,0,11,11,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.513655
,,,v,1,,0,12,12,8,1,cmp_shelves_026_vase_002,S1_shelves_026_vase_002.jpg,0,blank.png,blank.png,vase179.png,vase975.png,vase1032.png,vase556.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,1.59616
,,,v,0,,0,13,13,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.37003
,,,m,1,,0,14,14,63,1,cmp_building_041_dog_009,S4_building_041_dog_009.jpg,1,dog583.png,dog583.png,dog301.png,dog446.png,dog447.png,dog461.png,dog475.png,dog541.png,dog562.png,blank.png,0,4,8,8,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,2.908475
,,,m,1,,0,15,15,80,1,cmp_shelves_029_book_002,S4_shelves_029_book_002.jpg,1,book874.png,book874.png,book1249.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,900012,001,22,Male,DC,2020-04-10_15h53.52.498,vismem_search_builder_pavlovia,2020.1.2,Win32,60,1.05048
