random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
5211,y,28.264,,0,,0,0,0,89,1,cmp_building_015_person_008,S4_building_015_person_008.jpg,0,blank.png,blank.png,person100.png,person108.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,
,,,v,0,,0,1,1,81,1,cmp_shelves_053_toys_012,S4_shelves_053_toys_012.jpg,1,motorcycle509.png,motorcycle509.png,airplane136.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.79
,,,m,0,,0,2,2,21,1,cmp_mountain_001_bear_001,S2_mountain_001_bear_001.jpg,0,blank.png,blank.png,stm_mountain_001_bear_001_003.png,stm_mountain_001_bear_001_013.png,stm_mountain_001_bear_001_010.png,stm_mountain_001_bear_001_005.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.918
,,,v,1,,0,3,3,23,1,cmp_mountain_009_horse _001,S2_mountain_009_horse _001.jpg,0,blank.png,blank.png,horse1643.png,horse1105.png,horse1725.png,horse1447.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.873
,,,m,0,,0,4,4,108,1,cmp_africansavanna_002_wildanimals_002,S8_africansavanna_002_wildanimals_002.jpg,0,blank.png,blank.png,elephant231.png,elephant458.png,giraffe141.png,giraffe352.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.643
,,,m,1,,0,5,5,0,1,cmp_shelves_044_toys_003,S1_shelves_044_toys_003.jpg,1,motorcycle341.png,motorcycle341.png,truck96.png,truck83.png,airplane19.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.461
,,,v,1,,0,6,6,37,1,cmp_shelves_037_book_010,S4_shelves_037_book_010.jpg,0,blank.png,blank.png,book817.png,book1001.png,book344.png,book319.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.978
,,,m,1,,0,7,7,99,1,cmp_mountain_025_cow_005,S8_mountain_025_cow_005.jpg,1,cow396.png,cow396.png,cow241.png,cow340.png,cow343.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.549
,,,v,1,,0,8,8,104,1,cmp_shelves_040_book_013,S8_shelves_040_book_013.jpg,0,blank.png,blank.png,book477.png,book786.png,book915.png,book921.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,6.207
,,,,0,,0,9,9,58,1,cmp_jungle_007_bird_007,S4_jungle_007_bird_007.jpg,1,bird207.png,bird207.png,bird195.png,bird232.png,bird242.png,bird246.png,bird278.png,bird294.png,bird310.png,blank.png,1,4,8,8,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,
,,,v,0,,0,10,10,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.816
,,,m,1,,0,11,11,96,1,cmp_building_005_person_002,S8_building_005_person_002.jpg,1,person546.png,person546.png,person248.png,person303.png,person367.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.436
,,,v,1,,0,12,12,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,6.803
,,,v,1,,0,13,13,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.841
,,,,0,,0,14,14,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,
,,,m,1,,0,15,15,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.374
,,,m,0,,0,16,16,54,1,cmp_shelves_036_book_009,S4_shelves_036_book_009.jpg,0,blank.png,blank.png,book670.png,book778.png,book672.png,book674.png,book694.png,book660.png,book656.png,book688.png,0,4,8,8,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.817
,,,v,1,,0,17,17,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,5.656
,,,,0,,0,18,18,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,
,,,m,1,,0,19,19,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,3.9
,,,v,1,,0,20,20,20,1,cmp_jungle_004_bird_004,S2_jungle_004_bird_004.jpg,0,blank.png,blank.png,bird224.png,bird133.png,bird244.png,bird131.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.916
,,,m,0,,0,21,21,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.009
,,,m,0,,0,22,22,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,6.398
,,,v,0,,0,23,23,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,5.792
,,,v,1,,0,24,24,88,1,cmp_building_014_person_007,S4_building_014_person_007.jpg,0,blank.png,blank.png,person120.png,person198.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.574
,,,v,1,,0,25,25,73,1,cmp_jungle_009_bird_009,S4_jungle_009_bird_009.jpg,0,blank.png,blank.png,bird435.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,610044,001,22,Female ,AH,2020-04-02_16h06.53.520,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,4.814
