random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
,,,m,1,,0,18,18,66,1,cmp_shelves_052_toys_011,S4_shelves_052_toys_011.jpg,1,bus112.png,bus112.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,0.70602
,,,m,1,,0,19,19,27,1,cmp_shelves_008_fruitvegetal_001,S2_shelves_008_fruitvegetal_001.jpg,1,carrot46.png,carrot46.png,broccoli85.png,apple473.png,orange138.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.196845
,,,m,0,,0,20,20,107,1,cmp_shelves_020_remote_004,S8_shelves_020_remote_004.jpg,0,blank.png,blank.png,remote258.png,remote260.png,remote361.png,remote269.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.103425
,,,m,1,,0,21,21,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.119465
,,,v,1,,0,22,22,23,1,cmp_mountain_009_horse _001,S2_mountain_009_horse _001.jpg,0,blank.png,blank.png,horse1643.png,horse1105.png,horse1725.png,horse1447.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.978715
,,,v,1,,0,23,23,75,1,cmp_jungle_011_bird_011,S4_jungle_011_bird_011.jpg,0,blank.png,blank.png,bird1369.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,1.756875
,,,v,0,,0,24,24,97,1,cmp_shelves_031_book_004,S8_shelves_031_book_004.jpg,1,book1164.png,book1164.png,book692.png,book935.png,book499.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.719095
,,,v,1,,0,25,25,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.46834
,,,v,1,,0,26,26,89,1,cmp_building_015_person_008,S4_building_015_person_008.jpg,0,blank.png,blank.png,person100.png,person108.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.312985
,,,m,0,,0,27,27,48,1,cmp_shelves_030_book_003,S4_shelves_030_book_003.jpg,0,blank.png,blank.png,book106.png,book150.png,book237.png,book549.png,book9.png,book417.png,book51.png,book396.png,1,4,8,8,7,v,780091,001,21,Female,MI,2020-04-05_17h09.26.865,vismem_search_builder_pavlovia,2020.1.2,MacIntel,60,2.31092
