random_ID,key_resp_6.keys,key_resp_6.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,session,age,gender,experimenter,date,expName,psychopyVersion,OS,frameRate
7925,y,5.621615,m,0,1.431115,,0,0,0,109,1,cmp_building_023_cat_010,S8_building_023_cat_010.jpg,0,blank.png,blank.png,cat1497.png,cat1551.png,cat1592.png,cat1671.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,m,1,0.93152,,0,1,1,17,1,cmp_jungle_003_bird_003,S2_jungle_003_bird_003.jpg,1,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_009.png,stm_jugle_003_birds_003_011.png,stm_jugle_003_birds_003_013.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,m,1,1.29663,,0,2,2,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,m,1,0.65758,,0,3,3,69,1,cmp_sky_003_kite_003,S4_sky_003_kite_003.jpg,1,kite624.png,kite624.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,m,0,1.829455,,0,4,4,42,1,cmp_building_045_dog_013,S4_building_045_dog_013.jpg,0,blank.png,blank.png,dog1760.png,dog1810.png,dog1887.png,dog1907.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,m,1,1.111625,,0,5,5,65,1,cmp_sky_004_kite_004,S4_sky_004_kite_004.jpg,1,kite630.png,kite630.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,v,1,1.14952,,0,6,6,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,m,0,0.76965,,0,7,7,53,1,cmp_building_046_sheep_001,S4_building_046_sheep_001.jpg,0,blank.png,blank.png,sheep1453.png,sheep1556.png,sheep224.png,sheep1458.png,sheep1754.png,sheep1748.png,sheep1843.png,sheep238.png,0,4,8,8,7,v,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,v,0,1.383765,,0,8,8,70,1,cmp_shelves_049_toys_008,S4_shelves_049_toys_008.jpg,1,truck627.png,truck627.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,v,0,2.049495,,0,9,9,97,1,cmp_shelves_031_book_004,S8_shelves_031_book_004.jpg,1,book1164.png,book1164.png,book692.png,book935.png,book499.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
,,,v,1,1.924325,,0,10,10,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,779801,001,21,Male,DC,2020-04-05_16h20.16.967,vismem_search_builder_pavlovia,2020.1.2,Win32,60
