random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_2.rt,key_resp_end.keys,key_resp_end.rt
,,,,,v,1,4.025,,0,67,67,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,3.048,,0,68,68,60,1,cmp_building_031_person_017,S4_building_031_person_017.jpg,1,person771.png,person771.png,person1039.png,person34.png,person512.png,person513.png,person58.png,person596.png,person842.png,blank.png,0,4,8,8,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.142,space,0,69,69,70,1,cmp_shelves_049_toys_008,S4_shelves_049_toys_008.jpg,1,truck627.png,truck627.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.167,,
,,,,,v,1,4.253,,0,70,70,109,1,cmp_building_023_cat_010,S8_building_023_cat_010.jpg,0,blank.png,blank.png,cat1497.png,cat1551.png,cat1592.png,cat1671.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,4.875,space,0,71,71,61,1,cmp_building_042_dog_010,S4_building_042_dog_010.jpg,1,dog495.png,dog495.png,dog1126.png,dog1176.png,dog508.png,dog518.png,dog780.png,dog872.png,dog948.png,blank.png,0,4,8,8,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.825,,
,,,,,p,0,2.215,space,0,72,72,69,1,cmp_sky_003_kite_003,S4_sky_003_kite_003.jpg,1,kite624.png,kite624.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.953,,
,,,,,p,0,3.757,space,0,73,73,41,1,cmp_africansavanna_003_wildanimals_003,S4_africansavanna_003_wildanimals_003.jpg,0,blank.png,blank.png,elephant449.png,giraffe169.png,zebra311.png,giraffe738.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.58,,
,,,,,p,0,7.045,space,0,74,74,39,1,cmp_mountain_017_sheep_005,S4_mountain_017_sheep_005.jpg,0,blank.png,blank.png,sheep1498.png,sheep1552.png,sheep1422.png,sheep1597.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.447,,
,,,,,p,0,2.315,space,0,75,75,7,1,cmp_shelves_028_book_001,S1_shelves_028_book_001.jpg,1,book624.png,book624.png,book349.png,book368.png,book392.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.474,,
,,,,,v,1,2.635,,0,76,76,95,1,cmp_mountain_013_bird_001,S4_mountain_013_bird_001.jpg,0,blank.png,blank.png,bird152.png,bird403.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,1.888,,0,77,77,8,1,cmp_shelves_026_vase_002,S1_shelves_026_vase_002.jpg,0,blank.png,blank.png,vase179.png,vase975.png,vase1032.png,vase556.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,0,4.462,,0,78,78,46,1,cmp_jungle_001_bird_001.jpg,S4_jungle_001_bird_001.jpg,1,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_007.png,stm_jungle_001_bird_001_010.png,stm_jungle_001_bird_001_015.png,stm_jungle_001_bird_001_005.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,p,0,2.218,space,0,79,79,6,1,cmp_building_043_dog_011,S1_building_043_dog_011.jpg,1,dog1389.png,dog1389.png,dog1385.png,dog1267.png,dog1402.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.357,,
,,,,,p,0,2.037,space,0,80,80,100,1,cmp_shelves_016_cup_001,S8_shelves_016_cup_001.jpg,1,cup406.png,cup406.png,cup356.png,cup636.png,cup677.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,0.772,,
,,,,,v,1,3.754,,0,81,81,20,1,cmp_jungle_004_bird_004,S2_jungle_004_bird_004.jpg,0,blank.png,blank.png,bird224.png,bird133.png,bird244.png,bird131.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,4.241,,0,82,82,110,1,cmp_mountain_016_sheep_004,S8_mountain_016_sheep_004.jpg,0,blank.png,blank.png,sheep1420.png,sheep1560.png,sheep1768.png,sheep1774.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.483,,0,83,83,77,1,cmp_shelves_043_toys_002,S4_shelves_043_toys_002.jpg,0,blank.png,blank.png,car138.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,2.004,,0,84,84,15,1,cmp_mountain_019_sheep_007,S1_mountain_019_sheep_007.jpg,0,blank.png,blank.png,sheep46.png,sheep53.png,sheep128.png,sheep20.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,v,1,3.002,,0,85,85,75,1,cmp_jungle_011_bird_011,S4_jungle_011_bird_011.jpg,0,blank.png,blank.png,bird1369.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,23,2020-08-21_18h36.52.671,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
