random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
6758,y,10.35464,p,8.35625,m,1,5.41481,,0,0,0,97,1,cmp_shelves_031_book_004,S8_shelves_031_book_004.jpg,1,book1164.png,book1164.png,book692.png,book935.png,book499.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,5.87143,,0,1,1,96,1,cmp_building_005_person_002,S8_building_005_person_002.jpg,1,person546.png,person546.png,person248.png,person303.png,person367.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.75936,,0,2,2,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.922325,,0,3,3,65,1,cmp_sky_004_kite_004,S4_sky_004_kite_004.jpg,1,kite630.png,kite630.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,2.106105,,0,4,4,102,1,cmp_building_003_person_001,S8_building_003_person_001.jpg,1,stm_building_003_person_001_005.png,stm_building_003_person_001_005.png,stm_building_003_person_001_013.png,stm_building_003_person_001_020.png,stm_building_003_person_001_014.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.347725,,0,5,5,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,2.06264,,0,6,6,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,3.335565,,0,7,7,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,5.904295,,0,8,8,108,1,cmp_africansavanna_002_wildanimals_002,S8_africansavanna_002_wildanimals_002.jpg,0,blank.png,blank.png,elephant231.png,elephant458.png,giraffe141.png,giraffe352.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,3.064055,,0,9,9,56,1,cmp_shelves_027_vase_003,S4_shelves_027_vase_003.jpg,1,vase549.png,vase549.png,vase127.png,vase136.png,vase162.png,vase330.png,vase602.png,vase640.png,vase654.png,blank.png,1,4,8,8,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.584635,,0,10,10,60,1,cmp_building_031_person_017,S4_building_031_person_017.jpg,1,person771.png,person771.png,person1039.png,person34.png,person512.png,person513.png,person58.png,person596.png,person842.png,blank.png,0,4,8,8,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.15485,,0,11,11,78,1,cmp_building_011_cat_003,S4_building_011_cat_003.jpg,0,blank.png,blank.png,cat167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,3.14277,,0,12,12,17,1,cmp_jungle_003_bird_003,S2_jungle_003_bird_003.jpg,1,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_001.png,stm_jugle_003_birds_003_009.png,stm_jugle_003_birds_003_011.png,stm_jugle_003_birds_003_013.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,0.94993,,0,13,13,8,1,cmp_shelves_026_vase_002,S1_shelves_026_vase_002.jpg,0,blank.png,blank.png,vase179.png,vase975.png,vase1032.png,vase556.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.46149,,0,14,14,30,1,cmp_mountain_010_sheep_002,S2_mountain_010_sheep_002.jpg,0,blank.png,blank.png,sheep1280.png,sheep1344.png,sheep1652.png,sheep1275.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,6.04272,,0,15,15,49,1,cmp_mountain_021_sheep_009,S4_mountain_021_sheep_009.jpg,0,blank.png,blank.png,sheep760.png,sheep655.png,sheep710.png,sheep654.png,sheep618.png,sheep761.png,sheep719.png,sheep739.png,1,4,8,8,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.56013,,0,16,16,27,1,cmp_shelves_008_fruitvegetal_001,S2_shelves_008_fruitvegetal_001.jpg,1,carrot46.png,carrot46.png,broccoli85.png,apple473.png,orange138.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,3.205605,,0,17,17,52,1,cmp_building_022_cat_009,S4_building_022_cat_009.jpg,0,blank.png,blank.png,cat1624.png,cat1707.png,cat1761.png,cat1792.png,cat1636.png,cat1650.png,cat1793.png,cat1757.png,0,4,8,8,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,3.650045,,0,18,18,74,1,cmp_shelves_033_book_006,S4_shelves_033_book_006.jpg,0,blank.png,blank.png,book119.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,1.225305,,0,19,19,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.402115,,0,20,20,28,1,cmp_field_002_farmanimals_002,S2_field_002_farmanimals_002.jpg,0,blank.png,blank.png,cow120.png,cow65.png,horse126.png,cow325.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.162145,,0,21,21,26,1,cmp_mountain_011_bear_003,S2_mountain_011_bear_003.jpg,1,bear46.png,bear46.png,bear145.png,bear70.png,bear215.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,7.266645,,0,22,22,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,4.07183,,0,23,23,9,1,cmp_building_026_person_012,S1_building_026_person_012.jpg,0,blank.png,blank.png,person150.png,person390.png,person137.png,person140.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,4.582425,,0,24,24,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.718495,,0,25,25,92,1,cmp_building_024_person_010,S4_building_024_person_010.jpg,0,blank.png,blank.png,person1015.png,person1089.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,18,2020-08-15_15h34.54.107,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
