random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate
1631,y,1.5414,p,1.8982,,0,,0,0,0,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,1,1,54,1,cmp_shelves_036_book_009,S4_shelves_036_book_009.jpg,0,blank.png,blank.png,book670.png,book778.png,book672.png,book674.png,book694.png,book660.png,book656.png,book688.png,0,4,8,8,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,2,2,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,3,3,50,1,cmp_shelves_038_book_011,S4_shelves_038_book_011.jpg,0,blank.png,blank.png,book546.png,book620.png,book1262.png,book634.png,book633.png,book1096.png,book1261.png,book1265.png,1,4,8,8,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,4,4,106,1,cmp_mountain_018_sheep_006,S8_mountain_018_sheep_006.jpg,0,blank.png,blank.png,sheep1610.png,sheep1647.png,sheep1786.png,sheep1673.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,5,5,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,6,6,21,1,cmp_mountain_001_bear_001,S2_mountain_001_bear_001.jpg,0,blank.png,blank.png,stm_mountain_001_bear_001_003.png,stm_mountain_001_bear_001_013.png,stm_mountain_001_bear_001_010.png,stm_mountain_001_bear_001_005.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,7,7,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,8,8,38,1,cmp_building_047_bird_003,S4_building_047_bird_003.jpg,0,bird370.png,blank.png,bird417.png,bird489.png,bird389.png,bird358.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,9,9,103,1,cmp_shelves_014_bottle_003,S8_shelves_014_bottle_003.jpg,1,bottle244.png,bottle244.png,bottle465.png,bottle409.png,bottle197.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,10,10,102,1,cmp_building_003_person_001,S8_building_003_person_001.jpg,1,stm_building_003_person_001_005.png,stm_building_003_person_001_005.png,stm_building_003_person_001_013.png,stm_building_003_person_001_020.png,stm_building_003_person_001_014.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,11,11,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
,,,,,,0,,0,12,12,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,99,2021-12-08_09h48.06.207,vismem_search_builder_pavlovia2,2020.1.2,MacIntel,60
