key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials_train.ran,trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,CDT_trials.ran,trialResp_Train.keys,trialResp_Train.corr,GNGtrials_train.thisRepN,GNGtrials_train.thisTrialN,GNGtrials_train.thisN,GNGtrials_train.thisIndex,GNGtrials_train.ran,orangeOpacity,blueOpacity,trialResp_Train.rt,trialResp.keys,trialResp.corr,GNG_trials_1.thisRepN,GNG_trials_1.thisTrialN,GNG_trials_1.thisN,GNG_trials_1.thisIndex,GNG_trials_1.ran,trialResp.rt,GNG_trials_2.thisRepN,GNG_trials_2.thisTrialN,GNG_trials_2.thisN,GNG_trials_2.thisIndex,GNG_trials_2.ran,GNG_trials_3.thisRepN,GNG_trials_3.thisTrialN,GNG_trials_3.thisN,GNG_trials_3.thisIndex,GNG_trials_3.ran,slider_2.response,slider_2.rt,engprof_trials.thisRepN,engprof_trials.thisTrialN,engprof_trials.thisN,engprof_trials.thisIndex,engprof_trials.ran,qpnumber,qproficiency,slider.response,slider.rt,IUS12_trials.thisRepN,IUS12_trials.thisTrialN,IUS12_trials.thisN,IUS12_trials.thisIndex,IUS12_trials.ran,qnumber,qenglish,key_resp_end.keys,key_resp_end.rt
,,,,,,,,,,,,17,same,4,0.41,0.27,cyan,1,0.41,-0.41,black,1,-0.14,-0.27,magenta,1,-0.14,0.41,green,1,0.14,0.14,orange,0,0.14,-0.41,yellow,0,-0.14,-0.41,red,0,-0.27,0.14,blue,0,0.05,0.05,0.15,-0.14,0.41,green,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.920795,0,6,6,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,different,8,0.14,0.41,blue,1,0.14,-0.27,red,1,-0.41,-0.14,magenta,1,-0.14,0.27,black,1,0.41,0.27,yellow,1,0.41,-0.14,orange,1,-0.27,-0.14,green,1,-0.14,0.41,cyan,1,0.05,0.05,0.15,0.41,-0.14,blue,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,3.082495,0,7,7,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,different,4,0.41,0.41,magenta,1,0.41,-0.27,cyan,1,-0.27,-0.41,yellow,1,-0.14,0.41,black,1,0.27,0.27,blue,0,0.41,-0.41,green,0,-0.14,-0.27,red,0,-0.27,0.27,orange,0,0.05,0.05,0.15,-0.27,-0.41,orange,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,2.81741,0,8,8,39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,same,8,0.41,0.27,magenta,1,0.14,-0.14,green,1,-0.14,-0.41,orange,1,-0.14,0.41,red,1,0.27,0.14,black,1,0.14,-0.41,cyan,1,-0.41,-0.27,yellow,1,-0.27,0.14,blue,1,0.05,0.05,0.15,0.14,-0.41,cyan,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.783015,0,9,9,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,different,8,0.27,0.41,magenta,1,0.14,-0.41,green,1,-0.14,-0.14,black,1,-0.27,0.27,cyan,1,0.41,0.41,red,1,0.14,-0.27,blue,1,-0.41,-0.14,orange,1,-0.14,0.14,yellow,1,0.05,0.05,0.15,0.41,0.41,blue,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,1.000575,0,10,10,111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,same,8,0.27,0.27,magenta,1,0.14,-0.41,green,1,-0.27,-0.14,yellow,1,-0.14,0.27,orange,1,0.41,0.41,red,1,0.14,-0.14,cyan,1,-0.14,-0.27,black,1,-0.27,0.41,blue,1,0.05,0.05,0.15,0.41,0.41,red,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,2.06346,0,11,11,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,different,4,0.41,0.27,green,1,0.41,-0.27,yellow,1,-0.27,-0.27,orange,1,-0.14,0.14,cyan,1,0.14,0.14,magenta,0,0.27,-0.41,blue,0,-0.14,-0.27,red,0,-0.41,0.27,black,0,0.05,0.05,0.15,-0.14,0.14,green,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.91731,0,12,12,38,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,different,8,0.14,0.27,blue,1,0.41,-0.41,yellow,1,-0.14,-0.14,green,1,-0.41,0.14,black,1,0.41,0.27,red,1,0.27,-0.27,magenta,1,-0.27,-0.27,orange,1,-0.27,0.27,cyan,1,0.05,0.05,0.15,0.14,0.27,black,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.96686,0,13,13,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,47,different,4,0.27,0.27,magenta,1,0.41,-0.27,black,1,-0.14,-0.41,red,1,-0.14,0.41,green,1,0.41,0.41,cyan,0,0.27,-0.14,orange,0,-0.27,-0.14,blue,0,-0.27,0.14,yellow,0,0.05,0.05,0.15,0.27,0.27,blue,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.872605,0,14,14,46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,different,8,0.14,0.27,green,1,0.27,-0.41,orange,1,-0.14,-0.14,yellow,1,-0.27,0.41,magenta,1,0.27,0.14,blue,1,0.14,-0.27,red,1,-0.41,-0.14,cyan,1,-0.41,0.14,black,1,0.05,0.05,0.15,0.14,-0.27,cyan,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.82588,0,15,15,114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,different,8,0.14,0.14,yellow,1,0.14,-0.41,black,1,-0.27,-0.27,orange,1,-0.14,0.41,blue,1,0.14,0.27,magenta,1,0.41,-0.27,cyan,1,-0.41,-0.41,red,1,-0.41,0.41,green,1,0.05,0.05,0.15,0.41,-0.27,magenta,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.85778,0,16,16,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21,same,4,0.41,0.27,magenta,1,0.27,-0.41,black,1,-0.27,-0.14,orange,1,-0.41,0.41,green,1,0.27,0.14,yellow,0,0.27,-0.14,cyan,0,-0.27,-0.27,red,0,-0.41,0.27,blue,0,0.05,0.05,0.15,0.27,-0.41,black,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.26024,0,17,17,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,same,8,0.27,0.41,red,1,0.41,-0.14,cyan,1,-0.14,-0.14,green,1,-0.41,0.41,orange,1,0.14,0.27,magenta,1,0.27,-0.27,yellow,1,-0.41,-0.41,black,1,-0.27,0.41,blue,1,0.05,0.05,0.15,-0.41,0.41,orange,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.142395,0,18,18,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,same,4,0.41,0.14,magenta,1,0.41,-0.27,blue,1,-0.27,-0.14,yellow,1,-0.14,0.41,green,1,0.41,0.27,red,0,0.14,-0.14,orange,0,-0.14,-0.14,cyan,0,-0.27,0.27,black,0,0.05,0.05,0.15,-0.14,0.41,green,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.96151,0,19,19,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,same,4,0.14,0.41,magenta,1,0.41,-0.14,black,1,-0.27,-0.27,orange,1,-0.41,0.27,green,1,0.27,0.41,blue,0,0.41,-0.41,yellow,0,-0.41,-0.41,cyan,0,-0.27,0.27,red,0,0.05,0.05,0.15,0.41,-0.14,black,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,0.58632,0,20,20,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,same,4,0.41,0.27,green,1,0.27,-0.14,black,1,-0.27,-0.41,cyan,1,-0.41,0.14,blue,1,0.14,0.14,magenta,0,0.41,-0.41,orange,0,-0.14,-0.27,red,0,-0.41,0.41,yellow,0,0.05,0.05,0.15,0.27,-0.14,black,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.483745,0,21,21,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,different,4,0.27,0.27,black,1,0.41,-0.14,red,1,-0.41,-0.27,magenta,1,-0.14,0.14,green,1,0.41,0.41,cyan,0,0.14,-0.14,yellow,0,-0.27,-0.41,blue,0,-0.27,0.14,orange,0,0.05,0.05,0.15,0.41,-0.14,magenta,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,1.640565,0,22,22,43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,different,8,0.27,0.27,yellow,1,0.14,-0.27,green,1,-0.41,-0.14,blue,1,-0.41,0.41,red,1,0.14,0.27,magenta,1,0.27,-0.14,cyan,1,-0.14,-0.14,orange,1,-0.27,0.27,black,1,0.05,0.05,0.15,-0.41,-0.14,magenta,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,1.60467,0,23,23,91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,same,8,0.14,0.27,green,1,0.41,-0.27,magenta,1,-0.14,-0.27,cyan,1,-0.41,0.14,red,1,0.41,0.14,yellow,1,0.27,-0.14,blue,1,-0.14,-0.41,orange,1,-0.14,0.14,black,1,0.05,0.05,0.15,0.27,-0.14,blue,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.384615,0,24,24,67,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,different,8,0.27,0.14,green,1,0.41,-0.14,black,1,-0.27,-0.41,magenta,1,-0.41,0.14,cyan,1,0.41,0.41,blue,1,0.41,-0.27,yellow,1,-0.41,-0.27,red,1,-0.27,0.14,orange,1,0.05,0.05,0.15,0.41,-0.27,magenta,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,2.50796,0,25,25,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,different,4,0.27,0.27,red,1,0.14,-0.27,orange,1,-0.41,-0.14,green,1,-0.27,0.27,cyan,1,0.41,0.41,black,0,0.27,-0.14,magenta,0,-0.41,-0.41,yellow,0,-0.41,0.41,blue,0,0.05,0.05,0.15,-0.41,-0.14,magenta,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,2.86685,0,26,26,42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,different,4,0.27,0.41,black,1,0.41,-0.14,blue,1,-0.27,-0.27,cyan,1,-0.14,0.41,green,1,0.14,0.27,red,0,0.41,-0.41,magenta,0,-0.14,-0.27,orange,0,-0.41,0.27,yellow,0,0.05,0.05,0.15,0.27,0.41,yellow,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.96796,0,27,27,58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,same,4,0.27,0.41,cyan,1,0.27,-0.41,black,1,-0.27,-0.27,yellow,1,-0.27,0.27,green,1,0.41,0.41,blue,0,0.14,-0.27,red,0,-0.14,-0.14,orange,0,-0.41,0.41,magenta,0,0.05,0.05,0.15,0.27,-0.41,black,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,1.07771,0,28,28,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,same,8,0.41,0.14,green,1,0.14,-0.41,cyan,1,-0.14,-0.14,yellow,1,-0.14,0.27,red,1,0.27,0.14,blue,1,0.27,-0.27,magenta,1,-0.14,-0.27,orange,1,-0.14,0.41,black,1,0.05,0.05,0.15,-0.14,0.27,red,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.78643,0,29,29,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,same,4,0.14,0.14,magenta,1,0.27,-0.14,blue,1,-0.27,-0.14,black,1,-0.27,0.27,green,1,0.41,0.41,red,0,0.27,-0.27,cyan,0,-0.14,-0.14,yellow,0,-0.27,0.41,orange,0,0.05,0.05,0.15,0.14,0.14,magenta,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.539325,0,30,30,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,different,8,0.27,0.27,blue,1,0.14,-0.27,orange,1,-0.14,-0.14,black,1,-0.27,0.14,cyan,1,0.14,0.14,magenta,1,0.27,-0.41,yellow,1,-0.27,-0.41,green,1,-0.41,0.14,red,1,0.05,0.05,0.15,-0.27,0.14,black,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.76853,0,31,31,96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,different,8,0.41,0.41,yellow,1,0.14,-0.41,red,1,-0.41,-0.41,blue,1,-0.27,0.14,cyan,1,0.41,0.27,black,1,0.27,-0.41,green,1,-0.14,-0.41,orange,1,-0.14,0.41,magenta,1,0.05,0.05,0.15,-0.14,0.41,orange,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,1.342975,0,32,32,113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,same,8,0.27,0.41,blue,1,0.41,-0.27,magenta,1,-0.41,-0.41,yellow,1,-0.27,0.41,black,1,0.41,0.41,cyan,1,0.27,-0.41,green,1,-0.41,-0.27,orange,1,-0.14,0.27,red,1,0.05,0.05,0.15,-0.14,0.27,red,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.335355,0,33,33,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,different,8,0.14,0.14,black,1,0.14,-0.27,cyan,1,-0.41,-0.41,green,1,-0.41,0.27,red,1,0.27,0.41,orange,1,0.27,-0.27,blue,1,-0.41,-0.14,magenta,1,-0.41,0.41,yellow,1,0.05,0.05,0.15,0.27,-0.27,magenta,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.96933,0,34,34,102,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,same,4,0.41,0.27,green,1,0.14,-0.27,black,1,-0.27,-0.27,yellow,1,-0.14,0.14,orange,1,0.41,0.14,blue,0,0.14,-0.14,cyan,0,-0.41,-0.14,red,0,-0.27,0.41,magenta,0,0.05,0.05,0.15,-0.14,0.14,orange,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,1,0.80027,0,35,35,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,different,8,0.41,0.27,magenta,1,0.27,-0.27,red,1,-0.41,-0.41,yellow,1,-0.14,0.27,green,1,0.41,0.14,orange,1,0.14,-0.41,blue,1,-0.14,-0.41,black,1,-0.41,0.27,cyan,1,0.05,0.05,0.15,0.41,0.14,yellow,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,k,0,1.18513,0,36,36,112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,different,4,0.41,0.41,yellow,1,0.14,-0.27,red,1,-0.14,-0.27,cyan,1,-0.41,0.14,orange,1,0.14,0.41,green,0,0.27,-0.41,black,0,-0.27,-0.14,blue,0,-0.41,0.27,magenta,0,0.05,0.05,0.15,0.41,0.41,red,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,0.70323,0,37,37,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,same,4,0.27,0.41,orange,1,0.41,-0.14,cyan,1,-0.14,-0.41,green,1,-0.14,0.41,black,1,0.41,0.41,blue,0,0.27,-0.41,yellow,0,-0.41,-0.27,red,0,-0.41,0.41,magenta,0,0.05,0.05,0.15,-0.14,-0.41,green,k,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,0,1.60035,0,38,38,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,different,8,0.41,0.27,cyan,1,0.14,-0.14,magenta,1,-0.27,-0.14,blue,1,-0.41,0.41,yellow,1,0.41,0.41,red,1,0.14,-0.41,green,1,-0.27,-0.27,orange,1,-0.27,0.41,black,1,0.05,0.05,0.15,0.41,0.27,orange,l,101913,26,2020-08-05_23h02.53.540,CDT_GNG_IUS12,2020.1.2,Win32,60,l,1,1.21324,0,39,39,104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
