trialnum,condit,stimamt,stim1posx,stim1posy,stim1col,stim1opa,stim2posx,stim2posy,stim2col,stim2opa,stim3posx,stim3posy,stim3col,stim3opa,stim4posx,stim4posy,stim4col,stim4opa,stim5posx,stim5posy,stim5col,stim5opa,stim6posx,stim6posy,stim6col,stim6opa,stim7posx,stim7posy,stim7col,stim7opa,stim8posx,stim8posy,stim8col,stim8opa,stimsizex,stimsizey,stimdur,targetposx,targetposy,targetcol,corrAns,blueOpacity,orangeOpacity,CDT_trials_train.thisRepN,CDT_trials_train.thisTrialN,CDT_trials_train.thisN,CDT_trials_train.thisIndex,CDT_trials.thisRepN,CDT_trials.thisTrialN,CDT_trials.thisN,CDT_trials.thisIndex,GNG_trials_1.thisRepN,GNG_trials_1.thisTrialN,GNG_trials_1.thisN,GNG_trials_1.thisIndex,GNG_trials_2.thisRepN,GNG_trials_2.thisTrialN,GNG_trials_2.thisN,GNG_trials_2.thisIndex,GNG_trials_3.thisRepN,GNG_trials_3.thisTrialN,GNG_trials_3.thisN,GNG_trials_3.thisIndex,instr_text_2.started,instr_text_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,instr_text.started,instr_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,Instructions.started,Instructions.stopped,fix_ini.started,fix_ini.stopped,fix_trial.started,fix_trial.stopped,trialBlue.started,trialBlue.stopped,trialOrange.started,trialOrange.stopped,trialResp.keys,trialResp.corr,trialResp.rt,trialResp.started,trialResp.stopped,Instructions_2.started,Instructions_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
37,different,4,0.41,0.41,yellow,1,0.27,-0.14,black,1,-0.14,-0.14,orange,1,-0.41,0.14,green,1,0.14,0.14,white,0,0.27,-0.41,blue,0,-0.14,-0.27,magenta,0,-0.14,0.14,red,0,0.05,0.05,0.15,0.41,0.41,red,l,,,,,,,0,6,6,36,,,,,,,,,,,,,,,,,,,,l,1,1.2003688249969855,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
110,different,8,0.41,0.14,orange,1,0.27,-0.27,black,1,-0.14,-0.27,blue,1,-0.27,0.27,white,1,0.27,0.41,magenta,1,0.27,-0.41,red,1,-0.27,-0.41,yellow,1,-0.27,0.41,green,1,0.05,0.05,0.15,-0.27,-0.41,red,l,,,,,,,0,7,7,109,,,,,,,,,,,,,,,,,,,,l,1,1.1180632269970374,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
82,same,8,0.27,0.41,yellow,1,0.14,-0.14,magenta,1,-0.14,-0.14,orange,1,-0.14,0.41,black,1,0.14,0.41,red,1,0.27,-0.14,green,1,-0.27,-0.27,white,1,-0.41,0.41,blue,1,0.05,0.05,0.15,0.14,-0.14,magenta,k,,,,,,,0,8,8,81,,,,,,,,,,,,,,,,,,,,l,0,1.067178099998273,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
18,same,4,0.41,0.27,orange,1,0.14,-0.27,blue,1,-0.27,-0.41,yellow,1,-0.41,0.27,magenta,1,0.14,0.41,red,0,0.14,-0.14,black,0,-0.41,-0.27,green,0,-0.41,0.41,white,0,0.05,0.05,0.15,0.14,-0.27,blue,k,,,,,,,0,9,9,17,,,,,,,,,,,,,,,,,,,,l,0,1.133131416994729,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
66,same,8,0.27,0.27,magenta,1,0.14,-0.41,green,1,-0.27,-0.14,yellow,1,-0.14,0.27,orange,1,0.41,0.41,red,1,0.14,-0.14,white,1,-0.14,-0.27,black,1,-0.27,0.41,blue,1,0.05,0.05,0.15,0.41,0.41,red,k,,,,,,,0,10,10,65,,,,,,,,,,,,,,,,,,,,l,0,1.234264623002673,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
74,same,8,0.41,0.41,blue,1,0.14,-0.14,orange,1,-0.27,-0.41,white,1,-0.27,0.41,yellow,1,0.41,0.27,black,1,0.41,-0.41,red,1,-0.14,-0.27,magenta,1,-0.27,0.14,green,1,0.05,0.05,0.15,0.41,0.27,black,k,,,,,,,0,11,11,73,,,,,,,,,,,,,,,,,,,,k,1,0.884362347998831,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
61,same,8,0.41,0.41,orange,1,0.41,-0.41,magenta,1,-0.27,-0.41,blue,1,-0.14,0.27,yellow,1,0.14,0.41,red,1,0.14,-0.27,black,1,-0.41,-0.41,white,1,-0.27,0.14,green,1,0.05,0.05,0.15,-0.27,-0.41,blue,k,,,,,,,0,12,12,60,,,,,,,,,,,,,,,,,,,,l,0,1.284230461998959,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
86,same,8,0.41,0.27,magenta,1,0.14,-0.14,green,1,-0.14,-0.41,orange,1,-0.14,0.41,red,1,0.27,0.14,black,1,0.14,-0.41,white,1,-0.41,-0.27,yellow,1,-0.27,0.14,blue,1,0.05,0.05,0.15,0.14,-0.41,white,k,,,,,,,0,13,13,85,,,,,,,,,,,,,,,,,,,,l,0,1.46645535499556,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
113,different,8,0.41,0.27,magenta,1,0.27,-0.27,red,1,-0.41,-0.41,yellow,1,-0.14,0.27,green,1,0.41,0.14,orange,1,0.14,-0.41,blue,1,-0.14,-0.41,black,1,-0.41,0.27,white,1,0.05,0.05,0.15,0.41,0.14,yellow,l,,,,,,,0,14,14,112,,,,,,,,,,,,,,,,,,,,l,1,1.0011433249965194,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
19,same,4,0.27,0.41,blue,1,0.14,-0.41,red,1,-0.14,-0.27,black,1,-0.14,0.27,magenta,1,0.27,0.14,yellow,0,0.27,-0.14,orange,0,-0.14,-0.41,green,0,-0.14,0.14,white,0,0.05,0.05,0.15,0.27,0.41,blue,k,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,l,0,1.0174808809970273,,,,,,,,,,,,,,,,,,jk,001,2020_jul_23_1729,jul30online,2020.1.2,59.79834908402298,
