blueOpacity,orangeOpacity,corrAns,n,fix_trial.started_mean,fix_trial.started_raw,fix_trial.started_std,fix_trial.stopped_raw,trialBlue.started_mean,trialBlue.started_raw,trialBlue.started_std,trialBlue.stopped_mean,trialBlue.stopped_raw,trialBlue.stopped_std,trialOrange.started_mean,trialOrange.started_raw,trialOrange.started_std,trialOrange.stopped_mean,trialOrange.stopped_raw,trialOrange.stopped_std,trialResp.corr_mean,trialResp.corr_raw,trialResp.corr_std,trialResp.keys_raw,trialResp.rt_mean,trialResp.rt_raw,trialResp.rt_std,trialResp.started_mean,trialResp.started_raw,trialResp.started_std,trialResp.stopped_raw,order
0,1,None,1.0,509.5418701171875,509.5418701171875,0.0,,509.5418701171875,509.5418701171875,0.0,509.74151611328125,509.74151611328125,0.0,509.5418701171875,509.5418701171875,0.0,509.74151611328125,509.74151611328125,0.0,1.0,1.0,0.0,,,,,509.5418701171875,509.5418701171875,0.0,,18.0
0,1,None,1.0,530.5288696289062,530.5288696289062,0.0,,530.5288696289062,530.5288696289062,0.0,530.7428588867188,530.7428588867188,0.0,530.5288696289062,530.5288696289062,0.0,530.7428588867188,530.7428588867188,0.0,1.0,1.0,0.0,,,,,530.5288696289062,530.5288696289062,0.0,,39.0
0,1,None,1.0,500.5414123535156,500.5414123535156,0.0,,500.5414123535156,500.5414123535156,0.0,500.7412414550781,500.7412414550781,0.0,500.5414123535156,500.5414123535156,0.0,500.7412414550781,500.7412414550781,0.0,1.0,1.0,0.0,,,,,500.5414123535156,500.5414123535156,0.0,,9.0
0,1,None,1.0,540.528076171875,540.528076171875,0.0,,540.528076171875,540.528076171875,0.0,540.743408203125,540.743408203125,0.0,540.528076171875,540.528076171875,0.0,540.743408203125,540.743408203125,0.0,1.0,1.0,0.0,,,,,540.528076171875,540.528076171875,0.0,,49.0
0,1,None,1.0,508.5422668457031,508.5422668457031,0.0,,508.5422668457031,508.5422668457031,0.0,508.7415466308594,508.7415466308594,0.0,508.5422668457031,508.5422668457031,0.0,508.7415466308594,508.7415466308594,0.0,1.0,1.0,0.0,,,,,508.5422668457031,508.5422668457031,0.0,,17.0
0,1,None,1.0,534.5267944335938,534.5267944335938,0.0,,534.5267944335938,534.5267944335938,0.0,534.7261962890625,534.7261962890625,0.0,534.5267944335938,534.5267944335938,0.0,534.7261962890625,534.7261962890625,0.0,1.0,1.0,0.0,,,,,534.5267944335938,534.5267944335938,0.0,,43.0
0,1,None,1.0,501.54156494140625,501.54156494140625,0.0,,501.54156494140625,501.54156494140625,0.0,501.7413024902344,501.7413024902344,0.0,501.54156494140625,501.54156494140625,0.0,501.7413024902344,501.7413024902344,0.0,1.0,1.0,0.0,,,,,501.54156494140625,501.54156494140625,0.0,,10.0
0,1,None,1.0,499.5411376953125,499.5411376953125,0.0,,499.5411376953125,499.5411376953125,0.0,499.7411804199219,499.7411804199219,0.0,499.5411376953125,499.5411376953125,0.0,499.7411804199219,499.7411804199219,0.0,1.0,1.0,0.0,,,,,499.5411376953125,499.5411376953125,0.0,,8.0
0,1,None,1.0,513.5421142578125,513.5421142578125,0.0,,513.5421142578125,513.5421142578125,0.0,513.7418212890625,513.7418212890625,0.0,513.5421142578125,513.5421142578125,0.0,513.7418212890625,513.7418212890625,0.0,0.0,0.0,0.0,'space',0.45100945234298706,0.45100945234298706,0.0,513.5421142578125,513.5421142578125,0.0,,22.0
0,1,None,1.0,510.5419006347656,510.5419006347656,0.0,,510.5419006347656,510.5419006347656,0.0,510.74169921875,510.74169921875,0.0,510.5419006347656,510.5419006347656,0.0,510.74169921875,510.74169921875,0.0,1.0,1.0,0.0,,,,,510.5419006347656,510.5419006347656,0.0,,19.0
1,0,space,1.0,535.529052734375,535.529052734375,0.0,,535.529052734375,535.529052734375,0.0,535.7432861328125,535.7432861328125,0.0,535.529052734375,535.529052734375,0.0,535.7432861328125,535.7432861328125,0.0,1.0,1.0,0.0,'space',0.5485607385635376,0.5485607385635376,0.0,535.529052734375,535.529052734375,0.0,,44.0
1,0,space,1.0,524.526611328125,524.526611328125,0.0,524.5265880030056,524.526611328125,524.526611328125,0.0,524.7251586914062,524.7251586914062,0.0,524.526611328125,524.526611328125,0.0,524.7251586914062,524.7251586914062,0.0,0.0,0.0,0.0,,,,,524.526611328125,524.526611328125,0.0,524.5265880030056,33.0
1,0,space,1.0,519.5426635742188,519.5426635742188,0.0,,519.5426635742188,519.5426635742188,0.0,519.7421875,519.7421875,0.0,519.5426635742188,519.5426635742188,0.0,519.7421875,519.7421875,0.0,0.0,0.0,0.0,,,,,519.5426635742188,519.5426635742188,0.0,,28.0
1,0,space,1.0,516.5428466796875,516.5428466796875,0.0,,516.5428466796875,516.5428466796875,0.0,516.7420043945312,516.7420043945312,0.0,516.5428466796875,516.5428466796875,0.0,516.7420043945312,516.7420043945312,0.0,1.0,1.0,0.0,'space',0.5169479250907898,0.5169479250907898,0.0,516.5428466796875,516.5428466796875,0.0,,25.0
1,0,space,1.0,494.5408630371094,494.5408630371094,0.0,,494.5408630371094,494.5408630371094,0.0,494.74090576171875,494.74090576171875,0.0,494.5408630371094,494.5408630371094,0.0,494.74090576171875,494.74090576171875,0.0,1.0,1.0,0.0,'space',0.3836672604084015,0.3836672604084015,0.0,494.5408630371094,494.5408630371094,0.0,,3.0
