random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_end.keys,key_resp_end.rt
2757,y,23.444065,n,13.466955,,0,,0,0,0,92,1,cmp_building_024_person_010,S4_building_024_person_010.jpg,0,blank.png,blank.png,person1015.png,person1089.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,m,0,,0,1,1,22,1,cmp_shelves_002_fruits_001,S2_shelves_002_fruits_001.jpg,0,blank.png,blank.png,stm_shelves_001_fruits_001_012.png,stm_shelves_001_fruits_001_010.png,stm_shelves_001_fruits_001_009.png,stm_shelves_001_fruits_001_013.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,5.43891,,
,,,,,v,1,,0,2,2,51,1,cmp_shelves_023_teddybear_004,S4_shelves_023_teddybear_004.jpg,0,blank.png,blank.png,teddy bear487.png,teddy bear517.png,teddy bear521.png,teddy bear555.png,teddy bear637.png,teddy bear762.png,teddy bear725.png,teddy bear755.png,1,4,8,8,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,5.41803,,
,,,,,v,0,,0,3,3,98,1,cmp_building_035_dog_003,S8_building_035_dog_003.jpg,1,dog587.png,dog587.png,dog455.png,dog499.png,dog557.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.344725,,
,,,,,v,0,,0,4,4,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.683665,,
,,,,,m,1,,0,5,5,32,1,cmp_shelves_032_book_005,S4_shelves_032_book_005.jpg,1,book466.png,book466.png,book22.png,book23.png,book513.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.28459,,
,,,,,v,1,,0,6,6,11,1,cmp_shelves_015_bottle_004,S1_shelves_015_bottle_004.jpg,0,blank.png,blank.png,bottle1332.png,bottle1090.png,bottle1390.png,bottle1498.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.604715,,
,,,,,m,1,,0,7,7,1,1,cmp_building_028_person_014,S1_building_028_person_014.jpg,1,person1293.png,person1293.png,person1501.png,person1447.png,person1485.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.36294,,
,,,,,m,0,,0,8,8,72,1,cmp_building_006_person_003,S4_building_006_person_003.jpg,0,blank.png,blank.png,person311.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.555325,,
,,,,,v,1,,0,9,9,78,1,cmp_building_011_cat_003,S4_building_011_cat_003.jpg,0,blank.png,blank.png,cat167.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.474245,,
,,,,,m,0,,0,10,10,41,1,cmp_africansavanna_003_wildanimals_003,S4_africansavanna_003_wildanimals_003.jpg,0,blank.png,blank.png,elephant449.png,giraffe169.png,zebra311.png,giraffe738.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.73344,,
,,,,,m,1,,0,11,11,24,1,cmp_mountain_006_bear_002,S2_mountain_006_bear_002.jpg,1,bear688.png,bear688.png,bear4.png,bear71.png,bear72.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.763415,,
,,,,,m,1,,0,12,12,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.65967,,
,,,,,v,1,,0,13,13,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.865155,,
,,,,,m,1,,0,14,14,67,1,cmp_field_008_farmanimals_008,S4_field_008_farmanimals_008.jpg,1,sheep913.png,sheep913.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.220055,,
,,,,,v,0,,0,15,15,56,1,cmp_shelves_027_vase_003,S4_shelves_027_vase_003.jpg,1,vase549.png,vase549.png,vase127.png,vase136.png,vase162.png,vase330.png,vase602.png,vase640.png,vase654.png,blank.png,1,4,8,8,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.25704,,
,,,,,m,1,,0,16,16,60,1,cmp_building_031_person_017,S4_building_031_person_017.jpg,1,person771.png,person771.png,person1039.png,person34.png,person512.png,person513.png,person58.png,person596.png,person842.png,blank.png,0,4,8,8,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.91742,,
,,,,,m,1,,0,17,17,4,1,cmp_building_050_bird_006,S1_building_050_bird_006.jpg,1,bird709.png,bird709.png,bird680.png,bird1112.png,bird455.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.65141,,
,,,,,v,1,,0,18,18,23,1,cmp_mountain_009_horse _001,S2_mountain_009_horse _001.jpg,0,blank.png,blank.png,horse1643.png,horse1105.png,horse1725.png,horse1447.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.169315,,
,,,,,m,1,,0,19,19,3,1,cmp_building_044_dog_012,S1_building_044_dog_012.jpg,1,dog1544.png,dog1544.png,dog1543.png,dog1592.png,dog1560.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.51295,,
,,,,,m,1,,0,20,20,87,1,cmp_mountain_026_horse_001,S4_mountain_026_horse_001.jpg,1,horse815.png,horse815.png,horse1010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.746315,,
,,,,,m,1,,0,21,21,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.73208,,
,,,,,v,1,,0,22,22,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.07151,,
,,,,,v,0,,0,23,23,97,1,cmp_shelves_031_book_004,S8_shelves_031_book_004.jpg,1,book1164.png,book1164.png,book692.png,book935.png,book499.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.054345,,
,,,,,v,1,,0,24,24,79,1,cmp_shelves_048_toys_007,S4_shelves_048_toys_007.jpg,0,blank.png,blank.png,airplane180.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.265115,,
,,,,,m,1,,0,25,25,65,1,cmp_sky_004_kite_004,S4_sky_004_kite_004.jpg,1,kite630.png,kite630.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.711055,,
,,,,,m,1,,0,26,26,66,1,cmp_shelves_052_toys_011,S4_shelves_052_toys_011.jpg,1,bus112.png,bus112.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.085985,,
,,,,,m,1,,0,27,27,57,1,cmp_shelves_018_remote_002,S4_shelves_018_remote_002.jpg,1,remote63.png,remote63.png,remote23.png,remote38.png,remote48.png,remote65.png,remote71.png,remote82.png,remote19.png,blank.png,1,4,8,8,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.593235,,
,,,,,v,0,,0,28,28,33,1,cmp_shelves_039_book_012,S4_shelves_039_book_012.jpg,1,book1310.png,book1310.png,book1064.png,book1213.png,book172.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.63987,,
,,,,,m,1,,0,29,29,6,1,cmp_building_043_dog_011,S1_building_043_dog_011.jpg,1,dog1389.png,dog1389.png,dog1385.png,dog1267.png,dog1402.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.57854,,
,,,,,m,1,,0,30,30,83,1,cmp_field_006_farmanimals_006,S4_field_006_farmanimals_006.jpg,1,sheep386.png,sheep386.png,cow128.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,25,2020-08-21_18h23.12.940,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.1135,,
