random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
2134,y,7.9408,w,12.19164,m,1,4.061235,,0,0,0,61,1,cmp_building_042_dog_010,S4_building_042_dog_010.jpg,1,dog495.png,dog495.png,dog1126.png,dog1176.png,dog508.png,dog518.png,dog780.png,dog872.png,dog948.png,blank.png,0,4,8,8,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,4.357295,,0,1,1,21,1,cmp_mountain_001_bear_001,S2_mountain_001_bear_001.jpg,0,blank.png,blank.png,stm_mountain_001_bear_001_003.png,stm_mountain_001_bear_001_013.png,stm_mountain_001_bear_001_010.png,stm_mountain_001_bear_001_005.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,1.08928,,0,2,2,55,1,cmp_shelves_050_toys_009,S4_shelves_050_toys_009.jpg,0,blank.png,blank.png,airplane359.png,bus23.png,bus17.png,airplane364.png,airplane413.png,motorcycle306.png,airplane379.png,motorcycle660.png,0,4,8,8,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,3.28503,,0,3,3,110,1,cmp_mountain_016_sheep_004,S8_mountain_016_sheep_004.jpg,0,blank.png,blank.png,sheep1420.png,sheep1560.png,sheep1768.png,sheep1774.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.18877,,0,4,4,64,1,cmp_stadium_001_person_001,S4_stadium_001_person_001.jpg,1,stadium_001_person_010.png,stadium_001_person_010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,2.57466,,0,5,5,44,1,cmp_shelves_001_pottedplant001,S4_shelves_001_pottedplant_001.jpg,1,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_002.png,stm_shelves_001_pottedplant_001_009.png,stm_shelves_001_pottedplant_001_014.png,stm_shelves_001_pottedplant_001_016.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.75098,,0,6,6,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,3.683835,,0,7,7,111,1,cmp_shelves_009_teddybear_002,S8_shelves_009_teddybear_002.jpg,0,blank.png,blank.png,teddy bear107.png,teddy bear123.png,teddy bear226.png,teddy bear241.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.73054,,0,8,8,67,1,cmp_field_008_farmanimals_008,S4_field_008_farmanimals_008.jpg,1,sheep913.png,sheep913.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.086705,,0,9,9,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.18929,,0,10,10,37,1,cmp_shelves_037_book_010,S4_shelves_037_book_010.jpg,0,blank.png,blank.png,book817.png,book1001.png,book344.png,book319.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,2.10827,,0,11,11,90,1,cmp_building_032_cat_011,S4_building_032_cat_011.jpg,0,blank.png,blank.png,cat206.png,cat219.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.00239,,0,12,12,71,1,cmp_building_019_cat_006,S4_building_019_cat_006.jpg,1,cat997.png,cat997.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,1.46758,,0,13,13,31,1,cmp_mountain_024_cow_004,S2_mountain_024_cow_004.jpg,0,blank.png,blank.png,cow289.png,cow337.png,cow306.png,cow452.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,0.937795,,0,14,14,1,1,cmp_building_028_person_014,S1_building_028_person_014.jpg,1,person1293.png,person1293.png,person1501.png,person1447.png,person1485.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.039385,,0,15,15,68,1,cmp_building_010_cat_002,S4_building_010_cat_002.jpg,1,cat105.png,cat105.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,738650,23,2020-08-20_13h23.22.866,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
