random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp_end.keys,key_resp_end.rt
,,,,,v,1,1.97963,,0,65,65,51,1,cmp_shelves_023_teddybear_004,S4_shelves_023_teddybear_004.jpg,0,blank.png,blank.png,teddy bear487.png,teddy bear517.png,teddy bear521.png,teddy bear555.png,teddy bear637.png,teddy bear762.png,teddy bear725.png,teddy bear755.png,1,4,8,8,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,2.749705,,0,66,66,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.83454,,0,67,67,82,1,cmp_building_049_bird_005,S4_building_049_bird_005.jpg,1,bird1082.png,bird1082.png,bird1040.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,1,1.134345,,0,68,68,60,1,cmp_building_031_person_017,S4_building_031_person_017.jpg,1,person771.png,person771.png,person1039.png,person34.png,person512.png,person513.png,person58.png,person596.png,person842.png,blank.png,0,4,8,8,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,0,3.60929,,0,69,69,101,1,cmp_building_051_bird_007,S8_building_051_bird_007.jpg,1,bird596.png,bird596.png,bird663.png,bird540.png,bird661.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,8,4,4,7,m,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,v,1,1.667495,,0,70,70,25,1,cmp_mountain_004_sheep_001,S2_mountain_004_sheep_001.jpg,0,blank.png,blank.png,sheep662.png,sheep796.png,sheep858.png,sheep875.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,2.49912,,0,71,71,53,1,cmp_building_046_sheep_001,S4_building_046_sheep_001.jpg,0,blank.png,blank.png,sheep1453.png,sheep1556.png,sheep224.png,sheep1458.png,sheep1754.png,sheep1748.png,sheep1843.png,sheep238.png,0,4,8,8,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,2.502955,,0,72,72,42,1,cmp_building_045_dog_013,S4_building_045_dog_013.jpg,0,blank.png,blank.png,dog1760.png,dog1810.png,dog1887.png,dog1907.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,0.71674,,0,73,73,31,1,cmp_mountain_024_cow_004,S2_mountain_024_cow_004.jpg,0,blank.png,blank.png,cow289.png,cow337.png,cow306.png,cow452.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
,,,,,m,0,1.019045,,0,74,74,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,688154,22,2020-08-15_21h14.39.167,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,
