random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_end.keys,key_resp_end.rt
3584,y,34.36953,m,11.735865,,0,,0,0,0,72,1,cmp_building_006_person_003,S4_building_006_person_003.jpg,0,blank.png,blank.png,person311.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,m,1,,0,1,1,96,1,cmp_building_005_person_002,S8_building_005_person_002.jpg,1,person546.png,person546.png,person248.png,person303.png,person367.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.04817,,
,,,,,v,0,,0,2,2,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.813145,,
,,,,,v,1,,0,3,3,54,1,cmp_shelves_036_book_009,S4_shelves_036_book_009.jpg,0,blank.png,blank.png,book670.png,book778.png,book672.png,book674.png,book694.png,book660.png,book656.png,book688.png,0,4,8,8,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.2291,,
,,,,,v,1,,0,4,4,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.516315,,
,,,,,m,1,,0,5,5,62,1,cmp_shelves_047_toys_006,S4_shelves_047_toys_006.jpg,1,bus328.png,bus328.png,bus558.png,car108.png,car112.png,car82.png,motorcycle779.png,airplane17.png,airplane4.png,blank.png,0,4,8,8,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.645685,,
,,,,,m,1,,0,6,6,3,1,cmp_building_044_dog_012,S1_building_044_dog_012.jpg,1,dog1544.png,dog1544.png,dog1543.png,dog1592.png,dog1560.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.102495,,
,,,,,v,1,,0,7,7,13,1,cmp_shelves_046_toys_005,S1_shelves_046_toys_005.jpg,0,blank.png,blank.png,bus321.png,airplane351.png,airplane381.png,bus323.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.73257,,
,,,,,m,0,,0,8,8,105,1,cmp_shelves_021_remote_005,S8_shelves_021_remote_005.jpg,0,blank.png,blank.png,remote353.png,remote357.png,remote358.png,remote373.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,4.53321,,
,,,,,v,1,,0,9,9,40,1,cmp_mountain_003_cow_001,S4_mountain_003_cow_001.jpg,0,blank.png,blank.png,cow77.png,cow241.png,cow192.png,cow256.png,blank.png,blank.png,blank.png,blank.png,0,4,4,4,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.896855,,
,,,,,m,1,,0,10,10,56,1,cmp_shelves_027_vase_003,S4_shelves_027_vase_003.jpg,1,vase549.png,vase549.png,vase127.png,vase136.png,vase162.png,vase330.png,vase602.png,vase640.png,vase654.png,blank.png,1,4,8,8,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.4348,,
,,,,,v,1,,0,11,11,75,1,cmp_jungle_011_bird_011,S4_jungle_011_bird_011.jpg,0,blank.png,blank.png,bird1369.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,v,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.57799,,
,,,,,m,1,,0,12,12,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.069395,,
,,,,,m,1,,0,13,13,80,1,cmp_shelves_029_book_002,S4_shelves_029_book_002.jpg,1,book874.png,book874.png,book1249.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,m,00000,26,2020-08-16_16h33.52.674,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.61972,,
