random_ID,key_resp_6.keys,key_resp_6.rt,Gender.keys,Gender.rt,key_resp.keys,key_resp.corr,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,FILE_CMP_IMAGE,FILE_SEARCH_IMAGE,TARGET,TARGET_NAME,TARGET_MEM,D1,D2,D3,D4,D5,D6,D7,D8,CONTEXT,VISUAL_SET_SIZE,MEM_SET_SIZE,stDur_Mem,stDur_VS,corrAns,participant,age,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,key_resp_end.keys,key_resp_end.rt
1103,y,15.541535,w,5.141815,,0,,0,0,0,37,1,cmp_shelves_037_book_010,S4_shelves_037_book_010.jpg,0,blank.png,blank.png,book817.png,book1001.png,book344.png,book319.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,1,1,39,1,cmp_mountain_017_sheep_005,S4_mountain_017_sheep_005.jpg,0,blank.png,blank.png,sheep1498.png,sheep1552.png,sheep1422.png,sheep1597.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,2,2,5,1,cmp_building_033_cat_012,S1_building_033_cat_012.jpg,1,cat1997.png,cat1997.png,cat1953.png,cat1921.png,cat1927.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,3,3,31,1,cmp_mountain_024_cow_004,S2_mountain_024_cow_004.jpg,0,blank.png,blank.png,cow289.png,cow337.png,cow306.png,cow452.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,4,4,69,1,cmp_sky_003_kite_003,S4_sky_003_kite_003.jpg,1,kite624.png,kite624.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,5,5,96,1,cmp_building_005_person_002,S8_building_005_person_002.jpg,1,person546.png,person546.png,person248.png,person303.png,person367.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,6,6,67,1,cmp_field_008_farmanimals_008,S4_field_008_farmanimals_008.jpg,1,sheep913.png,sheep913.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,1,1,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,7,7,107,1,cmp_shelves_020_remote_004,S8_shelves_020_remote_004.jpg,0,blank.png,blank.png,remote258.png,remote260.png,remote361.png,remote269.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,8,8,4,1,cmp_building_050_bird_006,S1_building_050_bird_006.jpg,1,bird709.png,bird709.png,bird680.png,bird1112.png,bird455.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,9,9,18,1,cmp_building_052_bird_008,S2_building_052_bird_008.jpg,1,bird936.png,bird936.png,bird927.png,bird935.png,bird938.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,2,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,10,10,12,1,cmp_mountain_022_sheep_010,S1_mountain_022_sheep_010.jpg,0,blank.png,blank.png,sheep920.png,sheep1036.png,sheep1087.png,sheep909.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,11,11,14,1,cmp_shelves_035_book_008,S1_shelves_035_book_008.jpg,0,blank.png,blank.png,book271.png,book113.png,book484.png,book429.png,blank.png,blank.png,blank.png,blank.png,0,1,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,12,12,105,1,cmp_shelves_021_remote_005,S8_shelves_021_remote_005.jpg,0,blank.png,blank.png,remote353.png,remote357.png,remote358.png,remote373.png,blank.png,blank.png,blank.png,blank.png,1,8,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,13,13,63,1,cmp_building_041_dog_009,S4_building_041_dog_009.jpg,1,dog583.png,dog583.png,dog301.png,dog446.png,dog447.png,dog461.png,dog475.png,dog541.png,dog562.png,blank.png,0,4,8,8,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,,0,,0,14,14,91,1,cmp_building_017_cat_004,S4_building_017_cat_004.jpg,0,blank.png,blank.png,cat800.png,cat830.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,2,2,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,,,
,,,,,m,1,,0,15,15,47,1,cmp_field_001_farmanimals_001,S4_field_001_farmanimals_001.jpg,1,horse34.png,horse34.png,horse90.png,sheep288.png,cow143.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,3.3295,,
,,,,,m,1,,0,16,16,2,1,cmp_building_018_cat_005,S1_building_018_cat_005.jpg,1,cat1440.png,cat1440.png,cat1534.png,cat1396.png,cat1452.png,blank.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.75897,,
,,,,,m,1,,0,17,17,87,1,cmp_mountain_026_horse_001,S4_mountain_026_horse_001.jpg,1,horse815.png,horse815.png,horse1010.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,2,2,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.936795,,
,,,,,m,0,,0,18,18,54,1,cmp_shelves_036_book_009,S4_shelves_036_book_009.jpg,0,blank.png,blank.png,book670.png,book778.png,book672.png,book674.png,book694.png,book660.png,book656.png,book688.png,0,4,8,8,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.703645,,
,,,,,m,0,,0,19,19,36,1,cmp_field_001_farmanimals_007,S4_field_001_farmanimals_007.jpg,0,blank.png,blank.png,cow375.png,cow361.png,horse620.png,sheep317.png,blank.png,blank.png,blank.png,blank.png,1,4,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.95094,,
,,,,,m,1,,0,20,20,26,1,cmp_mountain_011_bear_003,S2_mountain_011_bear_003.jpg,1,bear46.png,bear46.png,bear145.png,bear70.png,bear215.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,2,4,4,7,m,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.888735,,
,,,,,v,1,,0,21,21,8,1,cmp_shelves_026_vase_002,S1_shelves_026_vase_002.jpg,0,blank.png,blank.png,vase179.png,vase975.png,vase1032.png,vase556.png,blank.png,blank.png,blank.png,blank.png,1,1,4,4,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,1.56717,,
,,,,,v,1,,0,22,22,76,1,cmp_shelves_042_toys_001,S4_shelves_042_toys_001.jpg,0,blank.png,blank.png,bus30.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,blank.png,0,4,1,1,7,v,00000,22,2020-08-21_21h48.20.052,vismem_search_builder_pavlovia2,2020.1.2,Win32,60,2.792815,,
